,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
0,NANOS2 ,0,0,1,0,0
1,LRRK1 ,0,0,0,3,0
2,DAPK2 ,0,0,5,1,0
3,SLC26A10 ,0,0,1,0,0
4,FGF6 ,0,0,1,0,0
5,LOC110258748 ,0,0,1,0,0
6,COX7A2L ,3,0,0,0,0
7,DERA ,9,0,0,0,0
8,ATG14 ,0,0,0,1,0
9,ECM1 ,3,0,0,0,0
10,PSENEN ,0,0,2,0,0
11,ZNF391 ,0,0,0,1,0
12,EXD3 ,0,0,0,5,0
13,NSFL1C ,3,0,0,0,0
14,MAP3K6 ,0,0,2,0,0
15,SELENOP ,1,0,0,0,0
16,VSTM1 ,0,0,0,2,0
17,ARHGEF37 ,0,0,0,2,0
18,NCOA7 ,0,0,3,1,0
19,ANO10 ,4,0,0,0,0
20,ABCB4 ,0,0,0,4,0
21,UTP20 ,0,0,0,2,0
22,KRT28 ,0,0,0,1,0
23,UPK1A ,0,1,0,2,0
24,FAM174A ,0,0,2,0,0
25,CDCP1 ,0,0,0,4,0
26,LRP3 ,0,0,0,3,0
27,C1H15ORF48 ,1,0,0,0,0
28,B3GNT8 ,0,0,1,0,0
29,JMY ,0,0,0,2,0
30,PSMA5 ,1,0,0,0,0
31,ASCL4 ,0,0,0,1,0
32,TP53TG5 ,0,0,0,1,0
33,ANKRD55 ,0,0,0,3,0
34,LOC100622127 ,0,0,1,0,0
35,NUP133 ,7,0,0,0,0
36,HTR7 ,0,0,2,0,0
37,SLC25A43 ,0,0,1,0,0
38,TEP1 ,0,0,0,1,0
39,FOXI3 ,0,0,0,1,0
40,FOXRED1 ,0,0,0,2,0
41,TNKS2 ,0,0,0,2,0
42,TRAF3IP3 ,0,0,0,4,0
43,MAGOHB ,0,0,1,0,0
44,FFAR1 ,0,1,1,0,0
45,TEX11 ,0,0,0,1,0
46,NCKIPSD ,2,0,0,0,0
47,ARHGAP22 ,0,0,0,6,0
48,TRIQK ,0,0,1,0,0
49,TNIP2 ,0,0,0,2,0
50,XKR7 ,0,0,1,0,0
51,EXOC7 ,6,0,0,0,0
52,HYPK ,0,0,0,1,0
53,ZMPSTE24 ,2,0,0,0,0
54,OPTN ,1,0,0,4,0
55,SLC29A1 ,7,0,0,0,0
56,CLDN1 ,0,1,1,0,0
57,TMUB1 ,2,0,0,0,0
58,RASL11B ,0,0,0,1,0
59,AIF1 ,3,0,0,0,0
60,LOC100513367 ,0,0,0,1,0
61,RRN3 ,0,0,3,0,0
62,CNGB1 ,1,0,0,0,0
63,DEPTOR ,0,0,0,4,0
64,MRAP ,0,0,1,0,0
65,LOC100523213 ,1,0,0,0,0
66,GPR32 ,0,0,1,0,0
67,RNASET2 ,7,0,1,0,0
68,NUCB2 ,5,0,0,0,0
69,LDLRAD2 ,0,0,0,1,0
70,FOXO3 ,0,0,0,1,0
71,NPY5R ,0,0,1,0,0
72,UNC13C ,0,0,0,1,0
73,TAFA3 ,0,0,1,0,0
74,MYBPH ,0,0,0,1,0
75,RPRD1B ,2,0,0,0,0
76,NUDT3 ,4,0,0,0,0
77,FASTK ,0,0,0,4,0
78,IYD ,1,0,0,2,0
79,FNIP2 ,0,0,6,0,0
80,CRY1 ,0,0,1,0,0
