,sptr,accession,organism,GN,length
0,sp,Q52NJ3,Sus scrofa ,SAR1A ,198
1,sp,Q6PKU1,Sus scrofa ,SPI1 ,270
2,sp,P80928,Sus scrofa ,MIF ,115
3,sp,D5K8A2,Sus scrofa ,SPATA18 ,560
4,sp,Q2HYU2,Sus scrofa ,PFKM ,780
5,sp,P67776,Sus scrofa ,PPP2CA ,309
6,sp,Q9MZU4,Sus scrofa ,RSAD2 ,362
7,sp,Q6QAP6,Sus scrofa ,RPS29 ,56
8,sp,Q0GFF6,Sus scrofa ,RXRG ,463
9,sp,Q6QA74,Sus scrofa ,TMEM251 ,163
10,sp,Q5I2M3,Sus scrofa ,TLR9 ,1030
11,sp,P30879,Sus scrofa ,PGC ,73
12,sp,P55791,Sus scrofa ,PNOC ,17
13,sp,Q29576,Sus scrofa ,PSMB8 ,104
14,sp,P15782,Sus scrofa ,SFTPB ,79
15,sp,P79281,Sus scrofa ,PTN ,168
16,sp,Q5W9D5,Sus scrofa ,QKI ,341
17,sp,Q70BM6,Sus scrofa ,SLC22A8 ,543
18,sp,Q28999,Sus scrofa ,SAT1 ,171
19,sp,Q06AA1,Sus scrofa ,SH2D1A ,128
20,sp,P34994,Sus scrofa ,SSTR2 ,369
21,sp,P61292,Sus scrofa ,PPP1CB ,327
22,sp,Q06AA3,Sus scrofa ,RGN ,299
23,sp,P83884,Sus scrofa ,RPL36A ,106
24,sp,P01287,Sus scrofa ,GHRH ,44
25,sp,O62807,Sus scrofa ,PPARG ,504
26,sp,P61013,Sus scrofa ,PLN ,52
27,sp,Q29099,Sus scrofa ,PTBP1 ,557
28,sp,Q9XSD4,Sus scrofa ,PTAFR ,342
29,sp,P50133,Sus scrofa ,PTH1R ,585
30,sp,Q2EN75,Sus scrofa ,S100A6 ,90
31,sp,P00371,Sus scrofa ,DAO ,347
32,sp,Q2I689,Sus scrofa ,PLAGL1 ,463
33,sp,O02713,Sus scrofa ,SLC22A2 ,554
34,sp,Q863Y7,Sus scrofa ,SLC52A2 ,446
35,sp,O77735,Sus scrofa ,SCAMP1 ,338
36,sp,Q9TSW0,Sus scrofa ,TRIM15 ,461
37,sp,Q9TSV8,Sus scrofa ,LTB ,150
38,sp,Q8MJ49,Sus scrofa ,OSTF1 ,214
39,sp,Q7M329,Sus scrofa ,RNASET2 ,200
40,sp,Q007T0,Sus scrofa ,SDHB ,280
41,sp,Q9N1X4,Sus scrofa ,SFTPD ,378
42,sp,F1RKQ4,Sus scrofa ,TKFC ,579
43,sp,Q75ZZ6,Sus scrofa ,TNNT1 ,262
44,sp,B6CVD7,Sus scrofa ,ERO1A ,468
45,sp,A1Y2K1,Sus scrofa ,FYN ,537
46,sp,P00355,Sus scrofa ,GAPDH ,333
47,sp,Q8WNQ7,Sus scrofa ,GALNS ,522
48,sp,O77564,Sus scrofa ,FOLH1 ,751
49,sp,P36968,Sus scrofa ,GPX4 ,197
50,sp,P12309,Sus scrofa ,GLRX ,106
51,sp,Q02110,Sus scrofa ,HPD ,393
52,sp,P00571,Sus scrofa ,AK1 ,194
53,sp,Q29561,Sus scrofa ,CMPK1 ,196
54,sp,O18866,Sus scrofa ,KCNMA1 ,1152
55,sp,P0DSO0,Sus scrofa ,SAA2 ,129
56,sp,Q8HZJ6,Sus scrofa ,SDC4 ,202
57,sp,Q95KL4,Sus scrofa ,SELENOW ,87
58,sp,P22298,Sus scrofa ,SLPI ,129
59,sp,Q767M3,Sus scrofa ,VARS2 ,1062
60,sp,O02858,Sus scrofa ,SCD ,359
61,sp,Q4LE88,Sus scrofa ,SLC45A2 ,532
62,sp,P81405,Sus scrofa ,PSAP ,80
63,sp,D7PF45,Sus scrofa ,INPPL1 ,1260
64,sp,Q9TV62,Sus scrofa ,MYH4 ,1937
65,sp,Q8MI68,Sus scrofa ,MMUT ,750
66,sp,O77668,Sus scrofa ,HCRT ,131
67,sp,Q95242,Sus scrofa ,PECAM1 ,740
68,sp,P62936,Sus scrofa ,PPIA ,164
69,sp,P84024,Sus scrofa ,SMAD3 ,425
70,sp,O18734,Sus scrofa ,CPI17 ,147
71,sp,P67985,Sus scrofa ,RPL22 ,128
72,sp,Q6QAT1,Sus scrofa ,RPS28 ,69
73,sp,F1SR90,Sus scrofa ,SELENOS ,190
74,sp,Q767L9,Sus scrofa ,NRM ,262
75,sp,Q8SPJ0,Sus scrofa ,RNASE10 ,213
76,sp,Q9GMB0,Sus scrofa ,RPN1 ,608
77,sp,A1XQR9,Sus scrofa ,SNRPE ,92
78,sp,O62667,Sus scrofa ,SLC28A1 ,647
79,sp,Q06A98,Sus scrofa ,SRSF2 ,221
80,sp,P61958,Sus scrofa ,SUMO2 ,95
81,sp,P20112,Sus scrofa ,SPARC ,300
82,sp,Q9GKQ6,Sus scrofa ,BGN ,272
83,sp,Q867C0,Sus scrofa ,RAMP1 ,148
84,sp,Q29195,Sus scrofa ,RPL10 ,214
85,sp,O77683,Sus scrofa ,RND3 ,244
86,sp,O02799,Sus scrofa ,STAT2 ,864
87,sp,Q9GL50,Sus scrofa ,STEAP1 ,338
88,sp,P07200,Sus scrofa ,TGFB1 ,390
89,sp,C5HGF3,Sus scrofa ,TMCO1 ,188
90,sp,Q8SPP9,Sus scrofa ,TSHR ,764
91,sp,Q1RPP5,Sus scrofa ,SLC22A7 ,547
92,sp,O97580,Sus scrofa ,SUCLA2 ,425
93,sp,B8Y466,Sus scrofa ,SRPK3 ,566
94,sp,Q2XVP4,Sus scrofa ,TUBA1B ,451
95,sp,P56984,Sus scrofa ,TMEM14A ,99
96,sp,Q29102,Sus scrofa ,OPALIN ,142
97,sp,Q9TUB2,Sus scrofa ,TP53 ,386
98,sp,Q5FY69,Sus scrofa ,SLC5A10 ,597
