,sptr,accession,organism,Gene Name,length,PE Score
0,sp,P02762,Mus musculus ,Mup6 ,180,1
1,sp,Q91ZJ0,Mus musculus ,Mus81 ,551,1
2,tr,Q6ZQL8,Mus musculus ,Gbp6 ,611,2
3,sp,Q8R4K8,Mus musculus ,Pappa ,1624,2
4,sp,P02089,Mus musculus ,Hbb-b2 ,147,1
5,sp,P01887,Mus musculus ,B2m ,119,1
6,sp,P02088,Mus musculus ,Hbb-b1 ,147,1
7,sp,O70571,Mus musculus ,Pdk4 ,412,1
8,sp,Q6QIY3,Mus musculus ,Scn10a ,1958,1
9,sp,Q8VI33,Mus musculus ,Taf9 ,264,1
10,sp,O70372,Mus musculus ,Tert ,1122,1
11,sp,Q69ZP3,Mus musculus ,Pnkd ,385,1
12,sp,P63015,Mus musculus ,Pax6 ,422,1
13,sp,Q8BKJ9,Mus musculus ,Sirt7 ,402,1
14,sp,Q7TPH6,Mus musculus ,Mycbp2 ,4749,1
15,sp,P09041,Mus musculus ,Pgk2 ,417,1
16,sp,P06804,Mus musculus ,Tnf ,235,1
17,sp,Q8CIW5,Mus musculus ,Twnk ,685,2
18,sp,P62962,Mus musculus ,Pfn1 ,140,1
19,sp,O70131,Mus musculus ,Ninj1 ,152,1
20,sp,Q8VDB9,Mus musculus ,Slc6a20a ,592,2
21,sp,Q96EQ9,Mus musculus ,Prdm9 ,843,1
22,sp,Q61907,Mus musculus ,Pemt ,199,1
23,sp,Q9JKF1,Mus musculus ,Iqgap1 ,1657,1
24,sp,Q61696,Mus musculus ,Hspa1a ,641,1
25,sp,Q99KQ4,Mus musculus ,Nampt ,491,1
26,sp,Q149C2,Mus musculus ,Traf3ip1 ,625,1
27,sp,P25799,Mus musculus ,Nfkb1 ,971,1
28,sp,Q9JK42,Mus musculus ,Pdk2 ,407,1
29,sp,O89116,Mus musculus ,Vti1a ,217,1
30,sp,O08760,Mus musculus ,Ogg1 ,345,1
31,sp,O35980,Mus musculus ,Nthl1 ,300,2
32,sp,Q8VHJ5,Mus musculus ,Mark1 ,795,1
33,sp,O08573,Mus musculus ,Lgals9 ,353,1
34,sp,P17751,Mus musculus ,Tpi1 ,249,1
35,sp,Q9WUN2,Mus musculus ,Tbk1 ,729,1
36,sp,P46467,Mus musculus ,Vps4b ,444,1
37,sp,Q9CR50,Mus musculus ,Rchy1 ,261,1
38,sp,O08858,Mus musculus ,Sstr5 ,362,1
39,sp,Q05738,Mus musculus ,Sry ,392,1
40,sp,P43267,Mus musculus ,Sox15 ,231,1
41,sp,Q99N50,Mus musculus ,Sytl2 ,950,1
42,sp,O35423,Mus musculus ,Agxt ,414,1
43,sp,Q8R2Z3,Mus musculus ,Slc26a7 ,656,2
44,sp,Q8R3Z5,Mus musculus ,Cacnb1 ,597,1
