,sptr,accession,organism,Gene Name,length,PE Score
0,sp,Q9D2V8,Mus musculus ,Mfsd10 ,456,1
1,sp,Q8VHK5,Mus musculus ,Mlc1 ,382,1
2,sp,Q5SW45,Mus musculus ,Mks1 ,561,1
3,sp,Q3UQI9,Mus musculus ,Mindy4 ,744,1
4,sp,Q9D273,Mus musculus ,Mmab ,237,1
5,sp,Q8CCB5,Mus musculus ,Mettl24 ,363,2
6,sp,Q3U2U7,Mus musculus ,Mettl17 ,461,1
7,sp,Q9D1Q1,Mus musculus ,Mphosph6 ,161,1
8,sp,P48964,Mus musculus ,Cdc25a ,514,2
9,sp,Q9CWD3,Mus musculus ,Nudt17 ,296,2
10,sp,A6H5Y1,Mus musculus ,Mphosph9 ,991,2
11,sp,Q8C5W4,Mus musculus ,Morc2b ,1022,1
12,sp,Q8VI95,Mus musculus ,Oas1d ,361,1
13,sp,Q8CG71,Mus musculus ,P3h2 ,703,1
14,sp,P48076,Mus musculus ,Pla2g2c ,150,2
15,sp,P59644,Mus musculus ,Inpp5j ,1003,1
16,sp,Q9JJ00,Mus musculus ,Plscr1 ,328,1
17,sp,Q924N9,Mus musculus ,Prss28 ,274,1
18,sp,Q9CQJ2,Mus musculus ,Pih1d1 ,290,1
19,sp,Q9CQR6,Mus musculus ,Ppp6c ,305,1
20,sp,P30412,Mus musculus ,Ppic ,212,1
21,sp,P97313,Mus musculus ,Prkdc ,4128,1
22,sp,Q61074,Mus musculus ,Ppm1g ,542,1
23,sp,P20108,Mus musculus ,Prdx3 ,257,1
24,sp,Q9JK23,Mus musculus ,Psmg1 ,289,1
25,sp,O35435,Mus musculus ,Dhodh ,395,1
26,sp,Q8BHH2,Mus musculus ,Rab9b ,201,1
27,sp,Q5RI75,Mus musculus ,Rasef ,627,1
28,sp,Q8K386,Mus musculus ,Rab15 ,212,1
29,sp,Q99N57,Mus musculus ,Raf1 ,648,1
30,sp,P35295,Mus musculus ,Rab20 ,233,2
31,sp,Q9EQZ7,Mus musculus ,Rims2 ,1530,1
32,sp,Q9JL25,Mus musculus ,Rgs1 ,209,2
33,sp,Q9JJI8,Mus musculus ,Rpl38 ,70,1
34,sp,Q9D2C6,Mus musculus ,Polr3h ,204,1
35,sp,D3YVE8,Mus musculus ,Slc35g2 ,412,1
36,sp,Q9D9E0,Mus musculus ,Slc22a17 ,401,2
37,sp,A2AVZ9,Mus musculus ,Slc43a3 ,502,1
38,sp,A2AJN7,Mus musculus ,Slc4a11 ,862,2
39,sp,Q923I7,Mus musculus ,Slc5a2 ,670,1
40,sp,Q3U2P1,Mus musculus ,Sec24a ,1090,1
41,sp,Q69Z37,Mus musculus ,Samd9l ,1561,1
42,sp,Q9JLI6,Mus musculus ,Scly ,432,1
43,sp,Q9JLI8,Mus musculus ,Sart3 ,962,1
44,sp,P58043,Mus musculus ,Sesn2 ,480,1
45,sp,P58467,Mus musculus ,Setd4 ,439,1
46,sp,Q9R1T4,Mus musculus ,Septin6 ,434,1
47,sp,Q91WL6,Mus musculus ,Snx11 ,271,1
48,sp,Q61234,Mus musculus ,Snta1 ,503,1
49,sp,Q62407,Mus musculus ,Speg ,3262,1
50,sp,B1ARD6,Mus musculus ,Slfn9 ,910,2
51,sp,Q9EPR5,Mus musculus ,Sorcs2 ,1159,1
52,sp,O89090,Mus musculus ,Sp1 ,784,1
53,sp,P97325,Mus musculus ,St3gal3 ,374,1
54,sp,Q9D7D2,Mus musculus ,Serpina9 ,418,2
55,sp,Q09143,Mus musculus ,Slc7a1 ,622,1
56,sp,Q8R216,Mus musculus ,Sirt4 ,333,1
57,sp,Q3TYX3,Mus musculus ,Smyd5 ,416,1
58,sp,Q8BIH0,Mus musculus ,Sap130 ,1057,1
59,sp,Q62232,Mus musculus ,Six2 ,296,1
60,sp,O54941,Mus musculus ,Smarce1 ,411,1
61,sp,A7TZG3,Mus musculus ,Skint9 ,319,2
62,sp,Q8JZW5,Mus musculus ,Sh2d5 ,429,1
63,sp,Q91X43,Mus musculus ,Sh3d19 ,789,1
64,sp,Q80YD6,Mus musculus ,Sergef ,464,2
65,sp,Q9DB90,Mus musculus ,Smg9 ,520,1
66,sp,Q9Z199,Mus musculus ,Supt4h1b ,117,2
67,sp,O88393,Mus musculus ,Tgfbr3 ,850,1
68,sp,Q9D880,Mus musculus ,Timm50 ,353,1
69,sp,Q62313,Mus musculus ,Tgoln1 ,353,1
70,sp,Q9Z1J1,Mus musculus ,Tcf7l1 ,584,1
71,sp,Q9DBS2,Mus musculus ,Tprg1l ,266,1
72,sp,Q8C8H8,Mus musculus ,Ky ,661,1
73,sp,Q8CG19,Mus musculus ,Ltbp1 ,1712,1
74,sp,Q9WV66,Mus musculus ,Marchf7 ,693,2
75,sp,Q6ZQI3,Mus musculus ,Mlec ,291,1
76,sp,Q61845,Mus musculus ,Meig1 ,88,1
77,sp,P63085,Mus musculus ,Mapk1 ,358,1
78,sp,Q3V1L6,Mus musculus ,Mtmr11 ,700,2
79,sp,Q8CIQ6,Mus musculus ,Mtnr1b ,364,2
80,sp,Q8C3P7,Mus musculus ,Mettl3 ,580,1
81,sp,Q60878,Mus musculus ,Olfr140 ,302,3
82,sp,Q8R480,Mus musculus ,Nup85 ,656,1
83,sp,Q60881,Mus musculus ,Olfr142 ,305,3
84,sp,Q3U0K8,Mus musculus ,Ogfod1 ,545,1
85,sp,Q91VA6,Mus musculus ,Poldip2 ,368,1
86,sp,O70571,Mus musculus ,Pdk4 ,412,1
87,sp,Q3UA06,Mus musculus ,Trip13 ,432,1
88,sp,Q9D404,Mus musculus ,Oxsm ,459,1
89,sp,P27773,Mus musculus ,Pdia3 ,505,1
90,sp,D3YYM0,Mus musculus ,Ovol3 ,189,3
91,sp,Q8VEB4,Mus musculus ,Pla2g15 ,412,1
92,sp,Q8BKC8,Mus musculus ,Pi4kb ,816,1
93,sp,Q63934,Mus musculus ,Pou4f2 ,411,1
94,sp,Q8BVZ1,Mus musculus ,Plin5 ,463,1
95,sp,Q80TC5,Mus musculus ,Pogk ,607,2
96,sp,O35904,Mus musculus ,Pik3cd ,1043,1
97,sp,Q9R0B9,Mus musculus ,Plod2 ,737,1
98,sp,Q8C2R7,Mus musculus ,Pigm ,423,2
99,sp,Q922H7,Mus musculus ,Rasl11b ,247,2
100,sp,P62242,Mus musculus ,Rps8 ,208,1
101,sp,Q9D7H3,Mus musculus ,RtcA ,366,1
102,sp,Q8R1T4,Mus musculus ,Slc35a3 ,326,2
103,sp,P28705,Mus musculus ,Rxrg ,463,2
104,sp,Q9D083,Mus musculus ,Spc24 ,201,1
105,sp,Q925E0,Mus musculus ,Sntg2 ,539,1
106,sp,Q91WV7,Mus musculus ,Slc3a1 ,685,1
107,sp,Q80ZX8,Mus musculus ,Spag1 ,901,1
108,sp,Q7TNE3,Mus musculus ,Spag7 ,227,1
109,sp,Q80VP2,Mus musculus ,Spata7 ,582,1
110,sp,Q9CWT3,Mus musculus ,Snx10 ,201,1
111,sp,Q9D5A0,Mus musculus ,Spesp1 ,399,1
112,sp,Q8VI51,Mus musculus ,Sorcs3 ,1219,1
113,sp,Q8CI12,Mus musculus ,Smtnl2 ,456,1
114,sp,O88307,Mus musculus ,Sorl1 ,2215,1
115,sp,Q8C0X2,Mus musculus ,Slc9b1 ,565,1
116,sp,Q61711,Mus musculus ,Ibsp ,324,2
117,sp,O35906,Mus musculus ,Spib ,267,2
118,sp,Q62245,Mus musculus ,Sos1 ,1319,1
119,sp,D3YZU1,Mus musculus ,Shank1 ,2167,1
120,sp,Q8CI15,Mus musculus ,Sphk1 ,382,1
121,sp,Q62233,Mus musculus ,Six3 ,333,1
122,sp,A7TZE6,Mus musculus ,Skint1 ,364,1
123,sp,A7XUX6,Mus musculus ,Skint2 ,400,2
124,sp,A7XUY5,Mus musculus ,Skint5 ,1461,2
125,sp,Q8CG47,Mus musculus ,Smc4 ,1286,1
126,sp,Q60520,Mus musculus ,Sin3a ,1274,1
127,sp,Q8R4Y4,Mus musculus ,Stab1 ,2571,1
128,sp,Q8C624,Mus musculus ,Spata33 ,132,1
129,sp,Q91WJ7,Mus musculus ,Spats2l ,558,2
130,sp,P84104,Mus musculus ,Srsf3 ,164,1
131,sp,P55821,Mus musculus ,Stmn2 ,179,1
132,sp,A2ACP1,Mus musculus ,Ttc39a ,578,2
133,sp,P62915,Mus musculus ,Gtf2b ,316,1
134,sp,Q8K1H1,Mus musculus ,Tdrd7 ,1086,1
135,sp,Q4JK59,Mus musculus ,Tet2 ,1912,1
136,sp,Q80UF7,Mus musculus ,Ticam1 ,732,1
137,sp,P10711,Mus musculus ,Tcea1 ,301,1
138,sp,Q9D3P1,Mus musculus ,Tchhl1 ,638,2
139,sp,P80317,Mus musculus ,Cct6a ,531,1
140,sp,Q60610,Mus musculus ,Tiam1 ,1591,1
141,sp,Q8BJ25,Mus musculus ,Thap3 ,218,2
142,sp,Q9WTS4,Mus musculus ,Tenm1 ,2731,1
143,sp,Q80YX1,Mus musculus ,Tnc ,2110,1
144,sp,O70281,Mus musculus ,Tpst1 ,370,1
145,sp,Q9D702,Mus musculus ,Tmem52 ,196,2
146,sp,A2ASS6,Mus musculus ,Ttn ,35213,1
147,sp,Q8BXJ9,Mus musculus ,Tmem62 ,643,2
148,sp,Q91WU4,Mus musculus ,Tmco4 ,631,2
149,sp,Q9ER39,Mus musculus ,Tor1a ,333,1
150,sp,Q61471,Mus musculus ,Tob1 ,362,1
151,sp,Q3V0Q7,Mus musculus ,Tmprss12 ,336,1
152,sp,Q922B6,Mus musculus ,Traf7 ,594,1
153,sp,Q9D777,Mus musculus ,Tnfsf13 ,241,1
154,sp,Q9Z0L0,Mus musculus ,Tpbg ,426,1
155,sp,Q7TS55,Mus musculus ,Tnfsf18 ,173,1
156,sp,Q8CHQ6,Mus musculus ,Tmem125 ,216,2
157,sp,Q6ZPK0,Mus musculus ,Phf21a ,688,1
158,sp,P80206,Mus musculus ,Otx2 ,289,1
159,sp,Q6P1Z5,Mus musculus ,Pced1a ,449,2
160,sp,P08399,Mus musculus ,Phxr5 ,672,5
161,sp,Q8BST6,Mus musculus ,Peli2 ,419,1
162,sp,Q9Z126,Mus musculus ,Pf4 ,105,1
163,sp,Q9WVS6,Mus musculus ,Prkn ,464,1
164,sp,A2AJ77,Mus musculus ,Prdm12 ,365,2
165,sp,Q14C51,Mus musculus ,Ptcd3 ,685,1
166,sp,Q64434,Mus musculus ,Ptk6 ,451,1
167,sp,Q9CWH6,Mus musculus ,Psma8 ,250,1
168,sp,Q8BHS3,Mus musculus ,Rbm22 ,420,1
169,sp,Q8BP92,Mus musculus ,Rcn2 ,320,1
170,sp,Q91YE7,Mus musculus ,Rbm5 ,815,1
171,sp,Q3TIR3,Mus musculus ,Ric8a ,530,1
172,sp,P63011,Mus musculus ,Rab3a ,220,1
173,sp,Q8K3A4,Mus musculus ,Rhno1 ,235,2
174,sp,Q08652,Mus musculus ,Rbp2 ,134,2
175,sp,Q61493,Mus musculus ,Rev3l ,3122,1
176,sp,E9Q6X9,Mus musculus ,Arhgap40 ,672,3
177,sp,Q8C0D4,Mus musculus ,Arhgap12 ,838,1
178,sp,Q8K4Q0,Mus musculus ,Rptor ,1335,1
