,sptr,accession,organism,Gene Name,length,PE Score
0,sp,Q52NJ3,Sus scrofa ,SAR1A ,198,2
1,sp,Q6PKU1,Sus scrofa ,SPI1 ,270,2
2,sp,P80928,Sus scrofa ,MIF ,115,1
3,sp,D5K8A2,Sus scrofa ,SPATA18 ,560,2
4,sp,Q2HYU2,Sus scrofa ,PFKM ,780,2
5,sp,P67776,Sus scrofa ,PPP2CA ,309,2
6,sp,Q9MZU4,Sus scrofa ,RSAD2 ,362,1
7,sp,Q6QAP6,Sus scrofa ,RPS29 ,56,1
8,sp,Q0GFF6,Sus scrofa ,RXRG ,463,2
9,sp,Q6QA74,Sus scrofa ,TMEM251 ,163,2
10,sp,Q5I2M3,Sus scrofa ,TLR9 ,1030,2
11,sp,P30879,Sus scrofa ,PGC ,73,1
12,sp,P55791,Sus scrofa ,PNOC ,17,1
13,sp,Q29576,Sus scrofa ,PSMB8 ,104,1
14,sp,P15782,Sus scrofa ,SFTPB ,79,1
15,sp,P79281,Sus scrofa ,PTN ,168,2
16,sp,Q5W9D5,Sus scrofa ,QKI ,341,2
17,sp,Q70BM6,Sus scrofa ,SLC22A8 ,543,2
18,sp,Q28999,Sus scrofa ,SAT1 ,171,2
19,sp,Q06AA1,Sus scrofa ,SH2D1A ,128,2
20,sp,P34994,Sus scrofa ,SSTR2 ,369,3
21,sp,P61292,Sus scrofa ,PPP1CB ,327,1
22,sp,Q06AA3,Sus scrofa ,RGN ,299,2
23,sp,P83884,Sus scrofa ,RPL36A ,106,1
24,sp,P01287,Sus scrofa ,GHRH ,44,1
25,sp,O62807,Sus scrofa ,PPARG ,504,2
26,sp,P61013,Sus scrofa ,PLN ,52,1
27,sp,Q29099,Sus scrofa ,PTBP1 ,557,2
28,sp,Q9XSD4,Sus scrofa ,PTAFR ,342,2
29,sp,P50133,Sus scrofa ,PTH1R ,585,1
30,sp,Q2EN75,Sus scrofa ,S100A6 ,90,3
31,sp,P00371,Sus scrofa ,DAO ,347,1
32,sp,Q2I689,Sus scrofa ,PLAGL1 ,463,2
33,sp,O02713,Sus scrofa ,SLC22A2 ,554,2
34,sp,Q863Y7,Sus scrofa ,SLC52A2 ,446,1
35,sp,O77735,Sus scrofa ,SCAMP1 ,338,2
36,sp,Q9TSW0,Sus scrofa ,TRIM15 ,461,3
37,sp,Q9TSV8,Sus scrofa ,LTB ,150,3
38,sp,Q8MJ49,Sus scrofa ,OSTF1 ,214,2
39,sp,Q7M329,Sus scrofa ,RNASET2 ,200,1
40,sp,Q007T0,Sus scrofa ,SDHB ,280,1
41,sp,Q9N1X4,Sus scrofa ,SFTPD ,378,1
42,sp,F1RKQ4,Sus scrofa ,TKFC ,579,1
43,sp,Q75ZZ6,Sus scrofa ,TNNT1 ,262,2
44,sp,B6CVD7,Sus scrofa ,ERO1A ,468,2
45,sp,A1Y2K1,Sus scrofa ,FYN ,537,2
46,sp,P00355,Sus scrofa ,GAPDH ,333,1
47,sp,Q8WNQ7,Sus scrofa ,GALNS ,522,2
48,sp,O77564,Sus scrofa ,FOLH1 ,751,1
49,sp,P36968,Sus scrofa ,GPX4 ,197,1
50,sp,P12309,Sus scrofa ,GLRX ,106,1
51,sp,Q02110,Sus scrofa ,HPD ,393,1
52,sp,P00571,Sus scrofa ,AK1 ,194,1
53,sp,Q29561,Sus scrofa ,CMPK1 ,196,1
54,sp,O18866,Sus scrofa ,KCNMA1 ,1152,2
55,sp,P0DSO0,Sus scrofa ,SAA2 ,129,3
56,sp,Q8HZJ6,Sus scrofa ,SDC4 ,202,2
57,sp,Q95KL4,Sus scrofa ,SELENOW ,87,3
58,sp,P22298,Sus scrofa ,SLPI ,129,1
59,sp,Q767M3,Sus scrofa ,VARS2 ,1062,3
60,sp,O02858,Sus scrofa ,SCD ,359,2
61,sp,Q4LE88,Sus scrofa ,SLC45A2 ,532,2
62,sp,P81405,Sus scrofa ,PSAP ,80,1
63,sp,D7PF45,Sus scrofa ,INPPL1 ,1260,1
64,sp,Q9TV62,Sus scrofa ,MYH4 ,1937,2
65,sp,Q8MI68,Sus scrofa ,MMUT ,750,2
66,sp,O77668,Sus scrofa ,HCRT ,131,2
67,sp,Q95242,Sus scrofa ,PECAM1 ,740,2
68,sp,P62936,Sus scrofa ,PPIA ,164,1
69,sp,P84024,Sus scrofa ,SMAD3 ,425,2
70,sp,O18734,Sus scrofa ,CPI17 ,147,1
71,sp,P67985,Sus scrofa ,RPL22 ,128,1
72,sp,Q6QAT1,Sus scrofa ,RPS28 ,69,1
73,sp,F1SR90,Sus scrofa ,SELENOS ,190,2
74,sp,Q767L9,Sus scrofa ,NRM ,262,3
75,sp,Q8SPJ0,Sus scrofa ,RNASE10 ,213,1
76,sp,Q9GMB0,Sus scrofa ,RPN1 ,608,1
77,sp,A1XQR9,Sus scrofa ,SNRPE ,92,3
78,sp,O62667,Sus scrofa ,SLC28A1 ,647,2
79,sp,Q06A98,Sus scrofa ,SRSF2 ,221,2
80,sp,P61958,Sus scrofa ,SUMO2 ,95,3
81,sp,P20112,Sus scrofa ,SPARC ,300,1
82,sp,Q9GKQ6,Sus scrofa ,BGN ,272,2
83,sp,Q867C0,Sus scrofa ,RAMP1 ,148,2
84,sp,Q29195,Sus scrofa ,RPL10 ,214,1
85,sp,O77683,Sus scrofa ,RND3 ,244,2
86,sp,O02799,Sus scrofa ,STAT2 ,864,2
87,sp,Q9GL50,Sus scrofa ,STEAP1 ,338,2
88,sp,P07200,Sus scrofa ,TGFB1 ,390,1
89,sp,C5HGF3,Sus scrofa ,TMCO1 ,188,2
90,sp,Q8SPP9,Sus scrofa ,TSHR ,764,1
91,sp,Q1RPP5,Sus scrofa ,SLC22A7 ,547,2
92,sp,O97580,Sus scrofa ,SUCLA2 ,425,2
93,sp,B8Y466,Sus scrofa ,SRPK3 ,566,2
94,sp,Q2XVP4,Sus scrofa ,TUBA1B ,451,1
95,sp,P56984,Sus scrofa ,TMEM14A ,99,3
96,sp,Q29102,Sus scrofa ,OPALIN ,142,2
97,sp,Q9TUB2,Sus scrofa ,TP53 ,386,2
98,sp,Q5FY69,Sus scrofa ,SLC5A10 ,597,2
99,sp,O19063,Sus scrofa ,APCS ,224,2
100,sp,A5GFY8,Sus scrofa ,PHGDH ,533,3
101,sp,A5A761,Sus scrofa ,SFXN1 ,322,2
102,sp,Q29268,Sus scrofa ,STXBP2 ,118,2
103,sp,O19069,Sus scrofa ,SUCLG1 ,346,1
104,sp,Q5BLZ2,Sus scrofa ,PLIN3 ,439,2
105,sp,P62863,Sus scrofa ,FAU ,59,3
106,sp,Q06AA5,Sus scrofa ,TSPAN9 ,239,2
107,sp,I3L5V6,Sus scrofa ,SARM1 ,725,2
108,sp,Q719N1,Sus scrofa ,SPAST ,616,2
109,sp,P28768,Sus scrofa ,SOD2 ,144,2
110,sp,A5A763,Sus scrofa ,SOX10 ,469,2
111,sp,Q9GKQ9,Sus scrofa ,SMAD4 ,552,2
112,sp,P28220,Sus scrofa ,SORBS2 ,158,1
113,sp,Q95274,Sus scrofa ,TMSB4 ,44,3
114,sp,Q56P28,Sus scrofa ,ARL6IP5 ,188,2
115,sp,A4Z6H1,Sus scrofa ,ADSS2 ,456,2
116,sp,P01269,Sus scrofa ,PTH ,115,1
117,sp,Q4LE85,Sus scrofa ,RAB27A ,221,2
118,sp,P50121,Sus scrofa ,RBP2 ,134,2
119,sp,P62844,Sus scrofa ,RPS15 ,145,1
120,sp,Q4GWZ2,Sus scrofa ,RPSA ,295,1
121,sp,P31636,Sus scrofa ,SLC5A4 ,660,2
122,sp,Q7M2P1,Sus scrofa ,TNP3 ,76,1
123,sp,P56729,Sus scrofa ,SI ,62,1
124,sp,P63317,Sus scrofa ,TNNC1 ,161,1
125,sp,Q9BEA8,Sus scrofa ,FASLG ,282,2
126,sp,P32306,Sus scrofa ,OXTR ,386,2
127,sp,Q95JC9,Sus scrofa ,No Name,676,1
128,sp,Q8MIQ9,Sus scrofa ,Oca2 ,845,2
129,sp,Q06AU6,Sus scrofa ,RAB5A ,215,2
130,sp,Q06AU7,Sus scrofa ,RAB1B ,201,2
131,sp,P17560,Sus scrofa ,RENBP ,402,1
132,sp,Q8HZV3,Sus scrofa ,TFRC ,768,2
133,sp,P81649,Sus scrofa ,RNASE6 ,153,1
134,sp,Q9TUZ0,Sus scrofa ,STAT5B ,787,2
135,sp,B8XX90,Sus scrofa ,STING1 ,378,1
136,sp,Q06AK6,Sus scrofa ,TFIP11 ,836,2
137,sp,Q7YS88,Sus scrofa ,RAMP3 ,151,2
138,sp,Q2YGT9,Sus scrofa ,RPL6 ,284,1
139,sp,Q29308,Sus scrofa ,RPS19 ,136,2
140,sp,Q5PYH3,Sus scrofa ,SAR1B ,198,2
141,sp,A7LCJ3,Sus scrofa ,SIGLEC1 ,1730,1
142,sp,Q0MUU2,Sus scrofa ,SMPX ,86,2
143,sp,A2TF48,Sus scrofa ,MYD88 ,293,2
144,sp,P19621,Sus scrofa ,MME ,26,1
145,sp,Q02038,Sus scrofa ,NLN ,704,1
146,sp,A5PF10,Sus scrofa ,NEU1 ,416,3
147,sp,O79882,Sus scrofa ,MT-ND6 ,175,1
148,sp,P09933,Sus scrofa ,TPO ,926,1
149,sp,P46405,Sus scrofa ,RPS12 ,132,1
150,sp,P35323,Sus scrofa ,SPRP ,97,2
151,sp,Q5CD18,Sus scrofa ,TGFBR1 ,503,2
152,sp,P00761,Sus scrofa ,No Name,231,1
153,sp,Q9GLP2,Sus scrofa ,PROC ,459,2
154,sp,Q6QAT0,Sus scrofa ,RPL32 ,135,1
155,sp,P16225,Sus scrofa ,No Name,187,1
156,sp,P17630,Sus scrofa ,TCN1 ,417,1
157,sp,F1SRI0,Sus scrofa ,TRAPPC2 ,140,2
158,sp,P01224,Sus scrofa ,TSHB ,138,1
159,sp,Q29261,Sus scrofa ,VIL1 ,827,2
160,sp,Q29384,Sus scrofa ,PSMB4 ,154,2
161,sp,Q06AU2,Sus scrofa ,RAP2A ,183,2
162,sp,P80551,Sus scrofa ,RNASE2 ,20,1
163,sp,P29258,Sus scrofa ,TNP2 ,137,2
164,sp,A0P8Z5,Sus scrofa ,UIMC1 ,721,1
165,sp,Q2HY40,Sus scrofa ,TXNIP ,391,2
166,sp,P53027,Sus scrofa ,RPL10A ,165,2
167,sp,P49666,Sus scrofa ,RPL21 ,160,1
168,sp,P53590,Sus scrofa ,SUCLG2 ,433,1
169,sp,P02587,Sus scrofa ,TNNC2 ,159,1
170,sp,O62809,Sus scrofa ,HCRTR2 ,444,2
171,sp,Q29013,Sus scrofa ,POU2F2 ,478,2
172,sp,P49932,Sus scrofa ,PMAP37 ,167,2
173,sp,P01238,Sus scrofa ,PRL ,229,1
174,sp,Q19PY3,Sus scrofa ,RTCB ,505,2
175,sp,A0AAS4,Sus scrofa ,SGMS1 ,418,2
176,sp,Q29350,Sus scrofa ,U2AF1 ,82,2
177,sp,P79335,Sus scrofa ,SERPINE1 ,402,2
178,sp,Q8SPR7,Sus scrofa ,PLCD4 ,772,2
179,sp,Q863Z0,Sus scrofa ,PSME2 ,239,2
180,sp,Q29375,Sus scrofa ,RPL7A ,132,2
181,sp,Q29303,Sus scrofa ,RPS14 ,79,2
182,sp,Q09821,Sus scrofa ,TNP4 ,138,1
183,sp,P63246,Sus scrofa ,RACK1 ,317,1
184,sp,Q8MI69,Sus scrofa ,WFDC2 ,123,2
185,sp,Q29126,Sus scrofa ,No Name,144,2
186,sp,P49811,Sus scrofa ,MYOD1 ,319,3
187,sp,Q7YR76,Sus scrofa ,MYOCD ,933,2
188,sp,Q52NJ6,Sus scrofa ,RAB14 ,215,2
189,sp,Q5FZP5,Sus scrofa ,SCG2 ,616,2
190,sp,Q28920,Sus scrofa ,SPMI ,137,2
191,sp,Q767M0,Sus scrofa ,PPP1R18 ,618,3
192,sp,P35496,Sus scrofa ,No Name,137,1
193,sp,P79387,Sus scrofa ,NR5A1 ,461,2
194,sp,B9TRX0,Sus scrofa ,LEPROT ,131,2
195,sp,P0DTA4,Sus scrofa ,PCCA ,730,1
196,sp,D3K5L7,Sus scrofa ,TRIP13 ,431,2
197,sp,P32196,Sus scrofa ,NPG3 ,149,1
198,sp,Q29187,Sus scrofa ,RPL4 ,101,2
199,sp,P00348,Sus scrofa ,HADH ,314,1
200,sp,P79291,Sus scrofa ,OPRD1 ,228,1
201,sp,P00592,Sus scrofa ,PLA2G1B ,146,1
202,sp,P41535,Sus scrofa ,ADCYAP1 ,176,1
203,sp,Q6ITQ4,Sus scrofa ,PDZK1IP1 ,114,3
204,sp,Q29087,Sus scrofa ,POU3F3 ,131,2
205,sp,O02696,Sus scrofa ,PIK3R5 ,877,1
206,sp,P09889,Sus scrofa ,ACP5 ,340,1
207,sp,B8Q0B2,Sus scrofa ,BVES ,360,2
208,sp,P00671,Sus scrofa ,RNASE1 ,124,1
209,sp,Q2VJ60,Sus scrofa ,RNF19A ,838,2
210,sp,P81608,Sus scrofa ,SAL1 ,191,1
211,sp,Q9GLG4,Sus scrofa ,CHGB ,668,1
212,sp,Q5MNU5,Sus scrofa ,SCAP ,1279,2
213,sp,B0FWK4,Sus scrofa ,SPCS1 ,102,3
214,sp,O18896,Sus scrofa ,SOX9 ,509,2
215,sp,P20034,Sus scrofa ,PDGFB ,15,1
216,sp,P49933,Sus scrofa ,NPG4 ,149,1
217,sp,Q9GL01,Sus scrofa ,RPN2 ,629,2
218,sp,Q06A97,Sus scrofa ,SCGN ,276,2
219,sp,Q52NJ2,Sus scrofa ,RAB1A ,205,2
220,sp,Q06AU3,Sus scrofa ,RAB3A ,220,2
221,sp,Q95276,Sus scrofa ,RPL5 ,125,2
222,sp,Q6SA96,Sus scrofa ,RPS23 ,143,1
223,sp,P16960,Sus scrofa ,RYR1 ,5035,2
224,sp,Q8MK48,Sus scrofa ,SLC22A6 ,547,1
225,sp,P49927,Sus scrofa ,PRNP ,257,1
226,sp,Q29205,Sus scrofa ,RPL11 ,178,1
227,sp,A5GFQ0,Sus scrofa ,RPL7L1 ,247,3
228,sp,Q29201,Sus scrofa ,RPS16 ,146,1
229,sp,D5K8A9,Sus scrofa ,SPACA1 ,295,1
230,sp,Q8SQC1,Sus scrofa ,SCARB1 ,509,2
231,sp,P26429,Sus scrofa ,SLC5A1 ,605,2
232,sp,F1S668,Sus scrofa ,RGS16 ,200,1
233,sp,Q29011,Sus scrofa ,ACAN ,537,1
234,sp,P68005,Sus scrofa ,PYY ,36,1
235,sp,Q95M75,Sus scrofa ,RHBG ,458,2
236,sp,Q29214,Sus scrofa ,RPLP0 ,318,1
237,sp,Q29106,Sus scrofa ,RSC1A1 ,623,2
238,sp,A7WLI0,Sus scrofa ,SUMO4 ,95,1
239,sp,Q863T6,Sus scrofa ,SLC22A1 ,554,2
240,sp,P80310,Sus scrofa ,S100A12 ,92,1
241,sp,P81245,Sus scrofa ,No Name,157,1
242,sp,Q06AU4,Sus scrofa ,RAB34 ,259,2
243,sp,A1XQU3,Sus scrofa ,RPL14 ,213,1
244,sp,Q95281,Sus scrofa ,RPL29 ,160,1
245,sp,P02725,Sus scrofa ,GYPA ,133,1
246,sp,P02067,Sus scrofa ,HBB ,147,1
247,sp,O02734,Sus scrofa ,HMGCS2 ,508,2
248,sp,E2IUK4,Sus scrofa ,HORMAD1 ,394,2
249,sp,P26894,Sus scrofa ,CXCL8 ,103,1
250,sp,Q2HWD6,Sus scrofa ,KIT ,972,2
251,sp,Q2MJV9,Sus scrofa ,PALMD ,551,2
252,sp,P01300,Sus scrofa ,PPY ,65,1
253,sp,O02697,Sus scrofa ,PIK3CG ,1102,1
254,sp,P79897,Sus scrofa ,GUCA2A ,109,3
255,sp,P79288,Sus scrofa ,KLF9 ,244,2
256,sp,P58392,Sus scrofa ,KCNN3 ,724,2
257,sp,P01232,Sus scrofa ,LHB ,141,1
258,sp,Q864R5,Sus scrofa ,RHOT2 ,620,2
259,sp,P80552,Sus scrofa ,No Name,25,1
260,sp,Q29052,Sus scrofa ,ITIH1 ,902,2
261,sp,Q52N47,Sus scrofa ,ITM2B ,266,2
262,sp,P05207,Sus scrofa ,PRKAR2A ,155,1
263,sp,O02781,Sus scrofa ,MTNR1A ,154,3
264,sp,Q27HK4,Sus scrofa ,MTX1 ,317,2
265,sp,P12021,Sus scrofa ,No Name,1150,1
266,sp,P50131,Sus scrofa ,PTGER3 ,373,2
267,sp,P00791,Sus scrofa ,PGA ,385,1
268,sp,Q52I78,Sus scrofa ,NAMPT ,491,2
269,sp,P04175,Sus scrofa ,POR ,678,1
