,Protein Accession,Length,PE Score,#Confirmed Isoforms,In Reference Proteome
0,Q9TV69,335,1,0,1
1,P27594,663,2,0,1
2,P00355,333,1,0,1
3,Q5I2M3,1030,2,0,1
4,Q95JC9,676,1,2,1
5,Q2HWD6,972,2,0,1
6,Q9N0X0,344,2,0,1
7,Q9GKL7,896,2,0,1
8,Q9GKE7,816,2,1,1
9,Q58D68,440,2,0,1
10,Q9TTJ7,673,2,0,1
11,Q29031,439,1,0,1
12,Q9N1U3,782,2,0,1
13,P00690,511,1,0,1
14,P01315,108,1,0,1
15,P80928,115,1,0,1
16,Q9MZU4,362,1,0,1
17,P79281,168,2,0,1
18,P61292,327,1,0,1
19,O62807,504,2,1,1
20,P00371,347,1,0,1
21,Q007T0,280,1,0,1
22,F1RKQ4,579,1,0,1
23,A1Y2K1,537,2,0,1
24,O77564,751,1,0,1
25,P36968,197,1,1,1
26,O18866,1152,2,0,1
27,D7PF45,1260,1,0,1
28,P62936,164,1,0,1
29,P84024,425,2,0,1
30,P07200,390,1,0,1
31,Q9TUB2,386,2,0,1
32,O19069,346,1,1,1
33,I3L5V6,725,2,0,1
34,Q719N1,616,2,0,1
35,Q9GKQ9,552,2,0,1
36,Q4LE85,221,2,0,1
37,Q9BEA8,282,2,0,1
38,Q06AU6,215,2,0,1
39,Q9TUZ0,787,2,0,1
40,B8XX90,378,1,0,1
41,A7LCJ3,1730,1,0,1
42,Q02038,704,1,4,1
43,P09933,926,1,0,1
44,Q5CD18,503,2,1,1
45,Q9GLP2,459,2,0,1
46,Q29261,827,2,0,1
47,P53590,433,1,0,1
48,P01238,229,1,0,1
49,P63246,317,1,0,1
50,P79387,461,2,0,1
51,P00348,314,1,0,1
52,P00592,146,1,0,1
53,O02696,877,1,0,1
54,O18896,509,2,0,1
55,P16960,5035,2,0,1
56,Q8SQC1,509,2,0,1
57,P26894,103,1,0,1
58,O02697,1102,1,0,1
59,Q9N0F1,455,1,0,1
60,Q68J42,764,2,0,1
61,Q29599,349,1,0,1
62,Q28969,1205,1,0,1
63,Q9GL76,515,1,0,1
64,Q19S50,770,1,0,1
65,Q9XT90,580,2,0,1
66,Q9TSX9,224,2,0,1
67,P36887,351,1,0,1
68,P49923,478,2,0,1
69,Q0MS45,448,1,0,1
70,P15203,409,2,0,1
71,F1RRV3,2692,1,0,1
72,O62651,449,2,3,1
73,P05383,351,1,0,1
74,Q29073,329,1,0,1
75,Q00655,628,1,0,1
76,Q5U9S1,249,1,0,1
77,O97676,1151,2,0,1
78,Q8SQ34,278,2,0,1
79,A0A4X1UM84,622,1,0,1
80,A7XUJ6,541,2,0,1
81,M3TYT0,1388,1,0,1
82,Q02745,343,1,0,1
83,P30034,90,1,0,1
84,Q865B6,796,2,0,1
85,Q29551,520,1,0,1
86,P04178,153,1,0,1
87,Q764M5,757,2,0,1
88,P60588,285,1,0,1
89,Q52NJ1,216,2,0,1
90,Q0QF01,664,1,0,1
91,Q764M9,353,2,0,1
92,P80276,316,1,0,1
93,Q6PQZ2,1482,2,0,1
94,P20002,152,1,0,1
95,Q9N1F5,241,1,0,1
96,P20305,772,1,1,1
97,Q8MIB3,656,2,0,1
98,P00506,430,1,0,1
99,P32394,288,2,0,1
