,sptr,accession,organism,GN,length
0,sp,Q9D2V8,Mus musculus ,Mfsd10 ,456
1,sp,Q8VHK5,Mus musculus ,Mlc1 ,382
2,sp,Q5SW45,Mus musculus ,Mks1 ,561
3,sp,Q3UQI9,Mus musculus ,Mindy4 ,744
4,sp,Q9D273,Mus musculus ,Mmab ,237
5,sp,Q8CCB5,Mus musculus ,Mettl24 ,363
6,sp,Q3U2U7,Mus musculus ,Mettl17 ,461
7,sp,Q9D1Q1,Mus musculus ,Mphosph6 ,161
8,sp,P48964,Mus musculus ,Cdc25a ,514
9,sp,Q9CWD3,Mus musculus ,Nudt17 ,296
10,sp,A6H5Y1,Mus musculus ,Mphosph9 ,991
11,sp,Q8C5W4,Mus musculus ,Morc2b ,1022
12,sp,Q8VI95,Mus musculus ,Oas1d ,361
13,sp,Q8CG71,Mus musculus ,P3h2 ,703
14,sp,P48076,Mus musculus ,Pla2g2c ,150
15,sp,P59644,Mus musculus ,Inpp5j ,1003
16,sp,Q9JJ00,Mus musculus ,Plscr1 ,328
17,sp,Q924N9,Mus musculus ,Prss28 ,274
18,sp,Q9CQJ2,Mus musculus ,Pih1d1 ,290
19,sp,Q9CQR6,Mus musculus ,Ppp6c ,305
20,sp,P30412,Mus musculus ,Ppic ,212
21,sp,P97313,Mus musculus ,Prkdc ,4128
22,sp,Q61074,Mus musculus ,Ppm1g ,542
23,sp,P20108,Mus musculus ,Prdx3 ,257
24,sp,Q9JK23,Mus musculus ,Psmg1 ,289
25,sp,O35435,Mus musculus ,Dhodh ,395
26,sp,Q8BHH2,Mus musculus ,Rab9b ,201
27,sp,Q5RI75,Mus musculus ,Rasef ,627
28,sp,Q8K386,Mus musculus ,Rab15 ,212
29,sp,Q99N57,Mus musculus ,Raf1 ,648
30,sp,P35295,Mus musculus ,Rab20 ,233
31,sp,Q9EQZ7,Mus musculus ,Rims2 ,1530
32,sp,Q9JL25,Mus musculus ,Rgs1 ,209
33,sp,Q9JJI8,Mus musculus ,Rpl38 ,70
34,sp,Q9D2C6,Mus musculus ,Polr3h ,204
35,sp,D3YVE8,Mus musculus ,Slc35g2 ,412
36,sp,Q9D9E0,Mus musculus ,Slc22a17 ,401
37,sp,A2AVZ9,Mus musculus ,Slc43a3 ,502
38,sp,A2AJN7,Mus musculus ,Slc4a11 ,862
39,sp,Q923I7,Mus musculus ,Slc5a2 ,670
40,sp,Q3U2P1,Mus musculus ,Sec24a ,1090
41,sp,Q69Z37,Mus musculus ,Samd9l ,1561
42,sp,Q9JLI6,Mus musculus ,Scly ,432
43,sp,Q9JLI8,Mus musculus ,Sart3 ,962
44,sp,P58043,Mus musculus ,Sesn2 ,480
45,sp,P58467,Mus musculus ,Setd4 ,439
46,sp,Q9R1T4,Mus musculus ,Septin6 ,434
47,sp,Q91WL6,Mus musculus ,Snx11 ,271
48,sp,Q61234,Mus musculus ,Snta1 ,503
49,sp,Q62407,Mus musculus ,Speg ,3262
50,sp,B1ARD6,Mus musculus ,Slfn9 ,910
51,sp,Q9EPR5,Mus musculus ,Sorcs2 ,1159
52,sp,O89090,Mus musculus ,Sp1 ,784
53,sp,P97325,Mus musculus ,St3gal3 ,374
54,sp,Q9D7D2,Mus musculus ,Serpina9 ,418
55,sp,Q09143,Mus musculus ,Slc7a1 ,622
56,sp,Q8R216,Mus musculus ,Sirt4 ,333
57,sp,Q3TYX3,Mus musculus ,Smyd5 ,416
58,sp,Q8BIH0,Mus musculus ,Sap130 ,1057
59,sp,Q62232,Mus musculus ,Six2 ,296
60,sp,O54941,Mus musculus ,Smarce1 ,411
61,sp,A7TZG3,Mus musculus ,Skint9 ,319
62,sp,Q8JZW5,Mus musculus ,Sh2d5 ,429
63,sp,Q91X43,Mus musculus ,Sh3d19 ,789
64,sp,Q80YD6,Mus musculus ,Sergef ,464
65,sp,Q9DB90,Mus musculus ,Smg9 ,520
66,sp,Q9Z199,Mus musculus ,Supt4h1b ,117
67,sp,O88393,Mus musculus ,Tgfbr3 ,850
68,sp,Q9D880,Mus musculus ,Timm50 ,353
69,sp,Q62313,Mus musculus ,Tgoln1 ,353
70,sp,Q9Z1J1,Mus musculus ,Tcf7l1 ,584
71,sp,Q9DBS2,Mus musculus ,Tprg1l ,266
72,sp,Q8C8H8,Mus musculus ,Ky ,661
73,sp,Q8CG19,Mus musculus ,Ltbp1 ,1712
74,sp,Q9WV66,Mus musculus ,Marchf7 ,693
75,sp,Q6ZQI3,Mus musculus ,Mlec ,291
76,sp,Q61845,Mus musculus ,Meig1 ,88
77,sp,P63085,Mus musculus ,Mapk1 ,358
78,sp,Q3V1L6,Mus musculus ,Mtmr11 ,700
79,sp,Q8CIQ6,Mus musculus ,Mtnr1b ,364
80,sp,Q8C3P7,Mus musculus ,Mettl3 ,580
81,sp,Q60878,Mus musculus ,Olfr140 ,302
82,sp,Q8R480,Mus musculus ,Nup85 ,656
83,sp,Q60881,Mus musculus ,Olfr142 ,305
84,sp,Q3U0K8,Mus musculus ,Ogfod1 ,545
85,sp,Q91VA6,Mus musculus ,Poldip2 ,368
86,sp,O70571,Mus musculus ,Pdk4 ,412
87,sp,Q3UA06,Mus musculus ,Trip13 ,432
88,sp,Q9D404,Mus musculus ,Oxsm ,459
89,sp,P27773,Mus musculus ,Pdia3 ,505
90,sp,D3YYM0,Mus musculus ,Ovol3 ,189
91,sp,Q8VEB4,Mus musculus ,Pla2g15 ,412
92,sp,Q8BKC8,Mus musculus ,Pi4kb ,816
93,sp,Q63934,Mus musculus ,Pou4f2 ,411
94,sp,Q8BVZ1,Mus musculus ,Plin5 ,463
95,sp,Q80TC5,Mus musculus ,Pogk ,607
96,sp,O35904,Mus musculus ,Pik3cd ,1043
97,sp,Q9R0B9,Mus musculus ,Plod2 ,737
98,sp,Q8C2R7,Mus musculus ,Pigm ,423
99,sp,Q922H7,Mus musculus ,Rasl11b ,247
100,sp,P62242,Mus musculus ,Rps8 ,208
101,sp,Q9D7H3,Mus musculus ,RtcA ,366
102,sp,Q8R1T4,Mus musculus ,Slc35a3 ,326
103,sp,P28705,Mus musculus ,Rxrg ,463
104,sp,Q9D083,Mus musculus ,Spc24 ,201
105,sp,Q925E0,Mus musculus ,Sntg2 ,539
106,sp,Q91WV7,Mus musculus ,Slc3a1 ,685
107,sp,Q80ZX8,Mus musculus ,Spag1 ,901
108,sp,Q7TNE3,Mus musculus ,Spag7 ,227
109,sp,Q80VP2,Mus musculus ,Spata7 ,582
110,sp,Q9CWT3,Mus musculus ,Snx10 ,201
111,sp,Q9D5A0,Mus musculus ,Spesp1 ,399
112,sp,Q8VI51,Mus musculus ,Sorcs3 ,1219
113,sp,Q8CI12,Mus musculus ,Smtnl2 ,456
114,sp,O88307,Mus musculus ,Sorl1 ,2215
115,sp,Q8C0X2,Mus musculus ,Slc9b1 ,565
116,sp,Q61711,Mus musculus ,Ibsp ,324
117,sp,O35906,Mus musculus ,Spib ,267
118,sp,Q62245,Mus musculus ,Sos1 ,1319
119,sp,D3YZU1,Mus musculus ,Shank1 ,2167
120,sp,Q8CI15,Mus musculus ,Sphk1 ,382
121,sp,Q62233,Mus musculus ,Six3 ,333
122,sp,A7TZE6,Mus musculus ,Skint1 ,364
